typ;stufe;titel;storage_pfad;zieldatei;mb
Podcast;B1.1;Leben in Deutschland (nicht live);podcasts/B1.1/3 (2).mp4;Podcasts/B1.1-3 - Leben in Deutschland.mp4;372
Podcast;B1.2;Umweltthemen (nicht live);podcasts/B1.2/1 (2).mp4;Podcasts/B1.2-1 - Umweltthemen.mp4;359
Podcast;B1.2;Deutsche Kultur und Traditionen (nicht live);podcasts/B1.2/2 (2).mp4;Podcasts/B1.2-2 - Deutsche Kultur und Traditionen.mp4;358
Podcast;B1.2;Bildung und Berufsziele (nicht live);podcasts/B1.2/3 (3).mp4;Podcasts/B1.2-3 - Bildung und Berufsziele.mp4;400
Podcast;B2.1;Politik und Gesellschaft (nicht live);podcasts/B2.1/1 (3).mp4;Podcasts/B2.1-1 - Politik und Gesellschaft.mp4;361
Podcast;B2.1;Technologie und Innovation (nicht live);podcasts/B2.1/2 (3).mp4;Podcasts/B2.1-2 - Technologie und Innovation.mp4;343
Podcast;B2.1;Die deutsche Wirtschaft (nicht live);podcasts/B2.1/3 (4).mp4;Podcasts/B2.1-3 - Die deutsche Wirtschaft.mp4;168
Podcast;B2.2;Philosophie und Ethik (nicht live);podcasts/B2.2/1 (4).mp4;Podcasts/B2.2-1 - Philosophie und Ethik.mp4;410
Podcast;B2.2;Deutsche Literatur und Film (nicht live);podcasts/B2.2/2 (4).mp4;Podcasts/B2.2-2 - Deutsche Literatur und Film.mp4;378
Podcast;B2.2;Debatten und Argumentation (nicht live);podcasts/B2.2/3 (5).mp4;Podcasts/B2.2-3 - Debatten und Argumentation.mp4;360
