clip,video_nr,video_titel,slug,anker_prozent,dauer_sek,titel,quelle_url
03-mastering-der-die-das-german-articles-explained--clip-1,3,"Mastering Der, Die, Das: German Articles Explained",mastering-der-die-das-german-articles-explained,8,50,"Warum Deutsch drei Artikel hat — und Englisch nur einen",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/mastering-der-die-das-german-articles-explained/video-en.mp4
03-mastering-der-die-das-german-articles-explained--clip-2,3,"Mastering Der, Die, Das: German Articles Explained",mastering-der-die-das-german-articles-explained,26,50,"Diese Endungen sind IMMER die",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/mastering-der-die-das-german-articles-explained/video-en.mp4
03-mastering-der-die-das-german-articles-explained--clip-3,3,"Mastering Der, Die, Das: German Articles Explained",mastering-der-die-das-german-articles-explained,44,50,"-chen und -lein sind immer das",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/mastering-der-die-das-german-articles-explained/video-en.mp4
03-mastering-der-die-das-german-articles-explained--clip-4,3,"Mastering Der, Die, Das: German Articles Explained",mastering-der-die-das-german-articles-explained,62,50,"Tage, Monate, Jahreszeiten — alle der",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/mastering-der-die-das-german-articles-explained/video-en.mp4
03-mastering-der-die-das-german-articles-explained--clip-5,3,"Mastering Der, Die, Das: German Articles Explained",mastering-der-die-das-german-articles-explained,80,50,"Lern den Artikel MIT dem Wort — nie danach",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/mastering-der-die-das-german-articles-explained/video-en.mp4
04-german-indefinite-articles-ein-eine-explained--clip-1,4,"German Indefinite Articles: Ein & Eine Explained",german-indefinite-articles-ein-eine-explained,8,50,"ein oder eine? Der bestimmte Artikel verrät es",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4
04-german-indefinite-articles-ein-eine-explained--clip-2,4,"German Indefinite Articles: Ein & Eine Explained",german-indefinite-articles-ein-eine-explained,26,50,"Wann ""ein Mann"" und wann ""der Mann""?",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4
04-german-indefinite-articles-ein-eine-explained--clip-3,4,"German Indefinite Articles: Ein & Eine Explained",german-indefinite-articles-ein-eine-explained,44,50,"kein — so verneint man ein Substantiv",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4
04-german-indefinite-articles-ein-eine-explained--clip-4,4,"German Indefinite Articles: Ein & Eine Explained",german-indefinite-articles-ein-eine-explained,62,50,"ein hat keinen Plural — kein schon",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4
04-german-indefinite-articles-ein-eine-explained--clip-5,4,"German Indefinite Articles: Ein & Eine Explained",german-indefinite-articles-ein-eine-explained,80,50,"Drei Sätze, die den Unterschied zeigen",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4
05-german-personal-pronouns-the-complete-guide--clip-1,5,"German Personal Pronouns: The Complete Guide",german-personal-pronouns-the-complete-guide,8,50,"Alle acht Personalpronomen in 45 Sekunden",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-personal-pronouns-the-complete-guide/video-en.mp4
05-german-personal-pronouns-the-complete-guide--clip-2,5,"German Personal Pronouns: The Complete Guide",german-personal-pronouns-the-complete-guide,26,50,"du oder Sie? Die Entscheidung in einem Satz",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-personal-pronouns-the-complete-guide/video-en.mp4
05-german-personal-pronouns-the-complete-guide--clip-3,5,"German Personal Pronouns: The Complete Guide",german-personal-pronouns-the-complete-guide,44,50,"sie, sie und Sie — drei Wörter, die gleich klingen",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-personal-pronouns-the-complete-guide/video-en.mp4
05-german-personal-pronouns-the-complete-guide--clip-4,5,"German Personal Pronouns: The Complete Guide",german-personal-pronouns-the-complete-guide,62,50,"Für Dinge sagt man nicht immer ""es""",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-personal-pronouns-the-complete-guide/video-en.mp4
05-german-personal-pronouns-the-complete-guide--clip-5,5,"German Personal Pronouns: The Complete Guide",german-personal-pronouns-the-complete-guide,80,50,"ihr oder Sie, wenn du mit mehreren sprichst",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-personal-pronouns-the-complete-guide/video-en.mp4
06-german-pronoun-cases-nominative-accusative-dative--clip-1,6,"German Pronoun Cases: Nominative, Accusative & Dative",german-pronoun-cases-nominative-accusative-dative,8,50,"ich → mich → mir",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4
06-german-pronoun-cases-nominative-accusative-dative--clip-2,6,"German Pronoun Cases: Nominative, Accusative & Dative",german-pronoun-cases-nominative-accusative-dative,26,50,"du → dich → dir",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4
06-german-pronoun-cases-nominative-accusative-dative--clip-3,6,"German Pronoun Cases: Nominative, Accusative & Dative",german-pronoun-cases-nominative-accusative-dative,44,50,"er → ihn → ihm",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4
06-german-pronoun-cases-nominative-accusative-dative--clip-4,6,"German Pronoun Cases: Nominative, Accusative & Dative",german-pronoun-cases-nominative-accusative-dative,62,50,"wir, ihr, sie im Akkusativ und Dativ",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4
06-german-pronoun-cases-nominative-accusative-dative--clip-5,6,"German Pronoun Cases: Nominative, Accusative & Dative",german-pronoun-cases-nominative-accusative-dative,80,50,"Die ganze Tabelle in einem Clip",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4
07-german-verb-sein-how-to-say-to-be--clip-1,7,"German Verb Sein: How to Say "To Be"",german-verb-sein-how-to-say-to-be,8,50,"ich bin, du bist, er ist",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-sein-how-to-say-to-be/video-en.mp4
07-german-verb-sein-how-to-say-to-be--clip-2,7,"German Verb Sein: How to Say "To Be"",german-verb-sein-how-to-say-to-be,26,50,"wir sind, ihr seid, sie sind",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-sein-how-to-say-to-be/video-en.mp4
07-german-verb-sein-how-to-say-to-be--clip-3,7,"German Verb Sein: How to Say "To Be"",german-verb-sein-how-to-say-to-be,44,50,"Warum sein so unregelmäßig ist",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-sein-how-to-say-to-be/video-en.mp4
07-german-verb-sein-how-to-say-to-be--clip-4,7,"German Verb Sein: How to Say "To Be"",german-verb-sein-how-to-say-to-be,62,50,"Fragen mit sein — Verb nach vorn",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-sein-how-to-say-to-be/video-en.mp4
07-german-verb-sein-how-to-say-to-be--clip-5,7,"German Verb Sein: How to Say "To Be"",german-verb-sein-how-to-say-to-be,80,50,"Fünf Sätze mit sein, die du täglich brauchst",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-sein-how-to-say-to-be/video-en.mp4
08-german-verb-haben-how-to-say-to-have--clip-1,8,"German Verb Haben: How to Say "To Have"",german-verb-haben-how-to-say-to-have,8,50,"ich habe, du hast, er hat",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-haben-how-to-say-to-have/video-en.mp4
08-german-verb-haben-how-to-say-to-have--clip-2,8,"German Verb Haben: How to Say "To Have"",german-verb-haben-how-to-say-to-have,26,50,"wir haben, ihr habt, sie haben",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-haben-how-to-say-to-have/video-en.mp4
08-german-verb-haben-how-to-say-to-have--clip-3,8,"German Verb Haben: How to Say "To Have"",german-verb-haben-how-to-say-to-have,44,50,"Nach haben kommt immer der Akkusativ",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-haben-how-to-say-to-have/video-en.mp4
08-german-verb-haben-how-to-say-to-have--clip-4,8,"German Verb Haben: How to Say "To Have"",german-verb-haben-how-to-say-to-have,62,50,"Ich habe Hunger — nicht ""ich bin hungrig""",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-haben-how-to-say-to-have/video-en.mp4
08-german-verb-haben-how-to-say-to-have--clip-5,8,"German Verb Haben: How to Say "To Have"",german-verb-haben-how-to-say-to-have,80,50,"haben in Frage und Verneinung",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-verb-haben-how-to-say-to-have/video-en.mp4
09-the-nominative-case-subjects-in-german--clip-1,9,"The Nominative Case: Subjects in German",the-nominative-case-subjects-in-german,8,50,"Was der Nominativ überhaupt ist",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-nominative-case-subjects-in-german/video-en.mp4
09-the-nominative-case-subjects-in-german--clip-2,9,"The Nominative Case: Subjects in German",the-nominative-case-subjects-in-german,26,50,"Wer oder was? — die Testfrage",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-nominative-case-subjects-in-german/video-en.mp4
09-the-nominative-case-subjects-in-german--clip-3,9,"The Nominative Case: Subjects in German",the-nominative-case-subjects-in-german,44,50,"der, die, das — und im Plural immer die",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-nominative-case-subjects-in-german/video-en.mp4
09-the-nominative-case-subjects-in-german--clip-4,9,"The Nominative Case: Subjects in German",the-nominative-case-subjects-in-german,62,50,"Nach sein steht wieder der Nominativ",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-nominative-case-subjects-in-german/video-en.mp4
09-the-nominative-case-subjects-in-german--clip-5,9,"The Nominative Case: Subjects in German",the-nominative-case-subjects-in-german,80,50,"Subjekt finden, ohne nachzudenken",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-nominative-case-subjects-in-german/video-en.mp4
10-asking-questions-in-the-nominative-case--clip-1,10,"Asking Questions in the Nominative Case",asking-questions-in-the-nominative-case,8,50,"Wer? für Menschen, Was? für Dinge",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/asking-questions-in-the-nominative-case/video-en.mp4
10-asking-questions-in-the-nominative-case--clip-2,10,"Asking Questions in the Nominative Case",asking-questions-in-the-nominative-case,26,50,"Welcher, welche, welches",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/asking-questions-in-the-nominative-case/video-en.mp4
10-asking-questions-in-the-nominative-case--clip-3,10,"Asking Questions in the Nominative Case",asking-questions-in-the-nominative-case,44,50,"Ja/Nein-Fragen — Verb an Position eins",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/asking-questions-in-the-nominative-case/video-en.mp4
10-asking-questions-in-the-nominative-case--clip-4,10,"Asking Questions in the Nominative Case",asking-questions-in-the-nominative-case,62,50,"Die W-Fragen auf einen Blick",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/asking-questions-in-the-nominative-case/video-en.mp4
10-asking-questions-in-the-nominative-case--clip-5,10,"Asking Questions in the Nominative Case",asking-questions-in-the-nominative-case,80,50,"„Wer ist das?"" — dein erster echter Dialog",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/asking-questions-in-the-nominative-case/video-en.mp4
11-the-accusative-case-direct-objects-in-german--clip-1,11,"The Accusative Case: Direct Objects in German",the-accusative-case-direct-objects-in-german,8,50,"der wird zu den. Das ist der ganze Akkusativ.",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-accusative-case-direct-objects-in-german/video-en.mp4
11-the-accusative-case-direct-objects-in-german--clip-2,11,"The Accusative Case: Direct Objects in German",the-accusative-case-direct-objects-in-german,26,50,"Wen oder was? — die Testfrage",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-accusative-case-direct-objects-in-german/video-en.mp4
11-the-accusative-case-direct-objects-in-german--clip-3,11,"The Accusative Case: Direct Objects in German",the-accusative-case-direct-objects-in-german,44,50,"die und das ändern sich nicht — wirklich nicht",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-accusative-case-direct-objects-in-german/video-en.mp4
11-the-accusative-case-direct-objects-in-german--clip-4,11,"The Accusative Case: Direct Objects in German",the-accusative-case-direct-objects-in-german,62,50,"Diese Verben verlangen immer den Akkusativ",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-accusative-case-direct-objects-in-german/video-en.mp4
11-the-accusative-case-direct-objects-in-german--clip-5,11,"The Accusative Case: Direct Objects in German",the-accusative-case-direct-objects-in-german,80,50,"Subjekt oder Objekt? Der Artikel verrät es",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/the-accusative-case-direct-objects-in-german/video-en.mp4
