asset_id,type,current_title,cefr_level,language_variant,source_file_or_url,public_page_url,duration_seconds,transcript_path,subtitle_path,thumbnail_path,audio_quality,visual_quality,language_qa,status,rights_verified,reuse_recommendation,notes
VID-A1-SEIN-EN,video,"German Verb Sein: How to Say ""To Be""",A1,en,video-library/german-verb-sein-how-to-say-to-be/video-en.mp4,https://deutsch-meister.de/video-library/8846a19f-c76b-4b20-9c3b-5728563a1a9c,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,Day 7 fallback clip,29.8 MB — largest file in the bucket.
VID-A1-SEIN-AR,video,"German Verb Sein: How to Say ""To Be""",A1,ar,video-library/german-verb-sein-how-to-say-to-be/video-ar.mp4,https://deutsch-meister.de/video-library/8846a19f-c76b-4b20-9c3b-5728563a1a9c,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,20.6 MB.
VID-A1-HABEN-EN,video,"German Verb Haben: How to Say ""To Have""",A1,en,video-library/german-verb-haben-how-to-say-to-have/video-en.mp4,https://deutsch-meister.de/video-library/64c72eff-d01f-48bb-84e4-397545cb7532,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,Day 7 fallback clip,24.4 MB.
VID-A1-HABEN-AR,video,"German Verb Haben: How to Say ""To Have""",A1,ar,video-library/german-verb-haben-how-to-say-to-have/video-ar.mp4,https://deutsch-meister.de/video-library/64c72eff-d01f-48bb-84e4-397545cb7532,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,19.5 MB.
VID-A1-NOMINATIV-EN,video,The Nominative Case: Subjects in German,A1,en,video-library/the-nominative-case-subjects-in-german/video-en.mp4,https://deutsch-meister.de/video-library/31a0c195-7cd6-4454-915e-d45937cee18b,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,reserve,26.1 MB.
VID-A1-NOMINATIV-AR,video,The Nominative Case: Subjects in German,A1,ar,video-library/the-nominative-case-subjects-in-german/video-ar.mp4,https://deutsch-meister.de/video-library/31a0c195-7cd6-4454-915e-d45937cee18b,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,19.3 MB.
VID-A1-NOMFRAGEN-EN,video,Asking Questions in the Nominative Case,A1,en,video-library/asking-questions-in-the-nominative-case/video-en.mp4,https://deutsch-meister.de/video-library/ecb2c540-8469-4e29-8a61-bbc8833e99b5,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,reserve,20.9 MB.
VID-A1-NOMFRAGEN-AR,video,Asking Questions in the Nominative Case,A1,ar,video-library/asking-questions-in-the-nominative-case/video-ar.mp4,https://deutsch-meister.de/video-library/ecb2c540-8469-4e29-8a61-bbc8833e99b5,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,15.8 MB.
VID-A1-AKKUSATIV-EN,video,The Accusative Case: Direct Objects in German,A1,en,video-library/the-accusative-case-direct-objects-in-german/video-en.mp4,https://deutsch-meister.de/video-library/1799188c-86ee-42c3-8552-bd08abcc0290,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,reserve,25.4 MB.
VID-A1-AKKUSATIV-AR,video,The Accusative Case: Direct Objects in German,A1,ar,video-library/the-accusative-case-direct-objects-in-german/video-ar.mp4,https://deutsch-meister.de/video-library/1799188c-86ee-42c3-8552-bd08abcc0290,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,21.6 MB.
POD-A11-1,podcast,Erste Schritte auf Deutsch,A1.1,de,podcasts/A1.1/1.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,UNKNOWN,NEEDS_LANGUAGE_QA,UNKNOWN,Day 4 candidate,DB says 180 s but every A1.1 row says exactly 180 — a placeholder not a measurement. No transcript. vocabulary array empty.
POD-A11-2,podcast,Zahlen und Zaehlen,A1.1,de,podcasts/A1.1/2.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,FAIL,DO_NOT_PUBLISH,UNKNOWN,fix the title first,"TITLE DEFECT: ""Zaehlen"" instead of ""Zählen"". An umlaut transliteration in a German-learning brand's own title. Do not put this string in a caption."
POD-A11-3,podcast,Im Cafe,A1.1,de,podcasts/A1.1/3.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,FAIL,NEEDS_LANGUAGE_QA,UNKNOWN,usable if the title is corrected in the caption,"TITLE DEFECT: ""Im Cafe"" should be ""Im Café""."
POD-A12-1,podcast,Mein Tagesablauf,A1.2,de,podcasts/A1.2/1.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,Day 4 primary candidate,Title clean. Duration 200 s is again identical across the level — placeholder.
POD-A12-2,podcast,Einkaufen im Supermarkt,A1.2,de,podcasts/A1.2/2.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,Day 4 alternate,Title clean.
POD-A12-3,podcast,Familie und Freunde,A1.2,de,podcasts/A1.2/3.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-A21-1,podcast,Im Restaurant,A2.1,de,podcasts/A2.1/1.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-A21-2,podcast,Unterwegs in der Stadt,A2.1,de,podcasts/A2.1/2.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-A21-3,podcast,Hobbys und Freizeit,A2.1,de,podcasts/A2.1/3.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-A22-1,podcast,Beim Arzt,A2.2,de,podcasts/A2.2/1.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-A22-2,podcast,Einen Ausflug planen,A2.2,de,podcasts/A2.2/2.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-A22-3,podcast,Beruf und Arbeitsplatz,A2.2,de,podcasts/A2.2/3.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,PASS,NEEDS_LANGUAGE_QA,UNKNOWN,reserve,Title clean.
POD-B11-1,podcast,Ueber Nachrichten sprechen,B1.1,de,podcasts/B1.1/1.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,FAIL,DO_NOT_PUBLISH,UNKNOWN,fix the title first,"TITLE DEFECT: ""Ueber"" should be ""Über""."
POD-B11-2,podcast,Meinungen ausdruecken,B1.1,de,podcasts/B1.1/2.mp4,https://deutsch-meister.de/podcasts/,UNKNOWN,NONE,NONE,NONE,UNKNOWN,N/A,FAIL,DO_NOT_PUBLISH,UNKNOWN,fix the title first,"TITLE DEFECT: ""ausdruecken"" should be ""ausdrücken""."
